f1,f2,f3,f4,f5,target,label
-0.5114,4.4973,-1.0313,8.5208,0,-5.0391,0
-0.2391,2.7329,2.3933,9.0439,0,0.9212,0
-1.101,4.8163,-2.6536,4.7104,0,-8.6046,0
-1.4617,7.2398,1.4748,9.195,1,-7.1193,0
-0.3829,2.6238,-2.6385,16.9077,1,-2.3506,0
1.0051,5.4062,1.6138,10.8246,1,-2.0684,0
-1.4847,7.9897,-0.3088,12.5337,0,-10.513,0
-0.604,2.3142,0.2358,8.42,0,-2.7122,0
0.9983,4.9102,-2.2359,15.6425,0,-0.8719,0
1.105,4.6995,1.3146,7.3969,0,1.0659,0
0.0144,6.8434,-1.3461,14.4527,0,-5.8408,0
1.4393,5.5908,0.6895,15.7927,0,0.952,0
0.1257,5.8875,-2.7985,6.1787,0,-8.484,0
0.01,5.6013,-0.3662,5.1289,0,-6.0724,0
2.0204,9.8929,-1.595,13.4006,1,-3.5619,0
0.168,9.0747,2.9142,6.9282,1,-4.7662,0
2.2593,6.8206,2.2783,13.5746,1,3.749,1
-0.291,4.7869,-0.9335,8.1741,1,-4.418,0
-0.3391,3.0667,-1.2007,11.5046,0,-0.3315,0
0.4943,3.6273,1.2455,12.2855,1,-0.0611,0
1.2505,4.4867,-2.1954,10.0907,0,0.0235,0
1.7113,3.1803,-2.4452,9.6899,1,1.9499,0
-0.9768,6.901,-2.7627,14.8644,0,-7.2771,0
-2.0011,5.5211,-1.0022,10.5083,0,-9.3477,0
0.4855,4.7642,2.9974,7.7832,0,0.3772,0
-0.5891,5.8947,-1.0703,9.3067,1,-3.4658,0
-0.3389,6.7625,2.2969,4.7168,1,-3.6367,0
0.0641,3.2474,-1.7812,9.6465,0,-1.8441,0
-0.0099,4.6389,0.3199,5.865,1,-3.2819,0
0.5149,6.4635,-0.721,11.7649,1,-3.5441,0
-0.0854,8.7095,2.799,7.8077,0,-7.4376,0
-0.1007,3.1473,-2.1602,8.1678,0,-3.5821,0
-1.8898,4.427,-2.554,10.392,0,-9.3932,0
-1.6388,7.0116,-1.6114,9.8919,1,-9.5284,0
-0.9696,6.9836,1.0005,7.4362,1,-7.4251,0
1.2267,5.2433,-0.532,14.7751,1,2.5335,1
1.821,5.3938,1.0442,12.2743,0,-0.4896,0
1.0611,3.7992,-1.5542,8.3297,1,0.067,0
-0.1093,6.9994,-0.7617,6.7845,0,-6.1689,0
-0.5796,8.5695,-2.5163,14.3405,0,-9.5569,0
0.8128,6.0826,0.3162,10.388,0,-1.8262,0
1.6771,6.9185,0.8694,5.965,0,1.9771,0
1.7704,2.246,-1.6214,13.7478,1,4.7193,1
-0.3002,9.5025,1.1066,9.2878,0,-6.6386,0
0.8371,8.5209,-2.9061,10.4452,1,-5.0166,0
0.7606,4.271,0.3837,4.6672,1,-1.2044,0
-1.2229,7.1879,1.743,9.5488,1,-6.4864,0
1.0116,5.7097,2.032,7.232,1,3.1356,1
0.872,4.655,0.8047,10.6869,0,-1.1614,0
-1.4684,8.7465,-0.4089,8.1144,0,-14.0533,0
0.1162,3.3427,-1.5213,12.1213,1,0.7265,0
-0.3381,2.2465,1.4379,9.4207,0,1.086,0
1.0158,4.239,1.5681,11.0267,1,3.8992,1
-1.2069,5.8037,-0.5517,12.766,0,-6.3631,0
-1.4369,2.9957,2.1823,13.0913,0,-1.3938,0
-0.2016,2.4708,2.9564,10.1659,1,5.2644,1
0.3835,6.3848,-1.3896,11.1039,1,-2.2633,0
-1.0122,6.0947,-2.5385,9.9759,1,-6.2535,0
-0.5484,4.2666,-2.3582,7.537,1,-1.1725,0
0.5322,3.3599,2.1732,7.038,0,1.7325,0
-0.4237,7.5839,1.1718,8.14,1,-5.1572,0
0.8141,4.6759,1.1697,6.077,0,-0.7059,0
-0.3722,6.4412,1.7152,5.3984,0,-3.0592,0
-1.051,3.6244,1.0903,2.9457,1,-4.8693,0
0.6424,4.5189,1.7861,10.5552,1,1.7834,0
-0.2547,4.0308,-1.183,9.9708,1,-1.0611,0
0.0953,4.2395,2.9442,6.9895,1,1.3006,0
-1.7026,4.0421,-0.8428,12.9485,0,-7.0328,0
0.584,5.9584,0.9882,12.0733,1,2.0094,1
0.8782,4.6283,1.7774,11.0751,0,1.808,0
-1.2068,4.8379,0.4831,7.0981,1,-5.5485,0
-1.4682,5.694,1.1426,16.1074,1,0.9876,0
0.8213,6.2667,2.7704,15.3169,0,3.7203,1
-0.531,6.4945,1.7056,7.2482,0,-5.7656,0
-1.4297,6.1704,-1.0865,8.3013,0,-6.7583,0
0.9075,5.2593,-2.3438,12.1396,0,-5.5645,0
-1.2607,4.7458,-1.0141,7.0105,1,-5.3093,0
-0.4404,4.0649,0.9438,6.1126,0,-1.8937,0
-1.0068,5.6602,-2.9733,10.5316,0,-7.3464,0
-1.5852,3.3253,0.2213,8.6781,0,-4.4305,0
-0.1545,8.9731,0.1663,7.4046,1,-8.8505,0
-0.79,4.0385,2.0731,5.9288,1,-3.7332,0
1.1651,3.6937,1.0327,9.1436,0,3.0708,1
0.628,7.8073,0.0649,8.5768,1,-3.2723,0
-1.0224,6.0739,0.2243,16.0565,0,-6.534,0
-1.0915,4.2154,-2.1582,8.7032,0,-5.3936,0
1.6349,1.3156,-0.0923,10.998,1,8.6236,1
-0.9789,6.2574,1.2609,8.2967,0,-6.1448,0
0.2007,3.6465,-2.8038,10.3898,1,-0.2776,0
-1.5766,3.6202,-0.0281,6.0968,1,-5.1118,0
0.2926,1.3226,-0.7988,10.3853,1,2.7282,1
-2.9,3.2613,-2.3855,12.4131,1,-10.0406,0
0.1808,4.6376,-1.4231,10.8294,0,-3.4902,0
0.1179,3.5482,1.8642,7.6269,1,0.585,0
0.2758,5.9461,-1.7603,10.2805,1,-2.7641,0
-1.3203,4.4569,-1.9897,12.4746,1,-5.1627,0
1.1486,4.2916,2.4009,10.6449,1,3.593,1
2.729,1.9442,2.2023,14.203,0,12.6642,1
0.535,6.4019,-1.5147,11.6616,0,-5.3047,0
-0.6994,4.2603,-0.5146,5.9406,0,-4.8587,0
-1.364,6.9083,1.1682,12.3699,1,-6.7055,0
-0.0328,5.1245,1.6448,9.4734,1,-2.9899,0
-1.0235,2.6828,2.1006,10.8552,1,-0.7898,0
0.5295,2.9168,-1.0628,9.2087,0,1.5825,0
-1.0545,4.0693,-0.9376,9.6114,0,-5.8168,0
-1.3362,2.2878,-2.9023,11.5892,1,-3.8082,0
2.5182,5.0214,-1.7861,9.3995,1,2.4217,1
1.2575,8.9073,-1.3559,8.7149,1,-5.4555,0
