step,prey,predator,a,b,c,d
163,0.198,1.877,1.1,0.4,0.1,0.4
164,0.205,1.858,1.1,0.4,0.1,0.4
165,0.213,1.84,1.1,0.4,0.1,0.4
166,0.22,1.821,1.1,0.4,0.1,0.4
167,0.228,1.803,1.1,0.4,0.1,0.4
168,0.237,1.786,1.1,0.4,0.1,0.4
169,0.246,1.768,1.1,0.4,0.1,0.4
170,0.256,1.75,1.1,0.4,0.1,0.4
171,0.266,1.733,1.1,0.4,0.1,0.4
172,0.277,1.716,1.1,0.4,0.1,0.4
173,0.288,1.699,1.1,0.4,0.1,0.4
174,0.301,1.682,1.1,0.4,0.1,0.4
175,0.313,1.666,1.1,0.4,0.1,0.4
176,0.327,1.649,1.1,0.4,0.1,0.4
177,0.341,1.633,1.1,0.4,0.1,0.4
178,0.357,1.617,1.1,0.4,0.1,0.4
179,0.373,1.601,1.1,0.4,0.1,0.4
180,0.39,1.585,1.1,0.4,0.1,0.4
181,0.408,1.569,1.1,0.4,0.1,0.4
182,0.427,1.554,1.1,0.4,0.1,0.4
183,0.448,1.539,1.1,0.4,0.1,0.4
184,0.47,1.524,1.1,0.4,0.1,0.4
185,0.493,1.509,1.1,0.4,0.1,0.4
186,0.517,1.494,1.1,0.4,0.1,0.4
187,0.543,1.479,1.1,0.4,0.1,0.4
188,0.571,1.465,1.1,0.4,0.1,0.4
189,0.6,1.45,1.1,0.4,0.1,0.4
190,0.631,1.436,1.1,0.4,0.1,0.4
191,0.664,1.422,1.1,0.4,0.1,0.4
192,0.7,1.408,1.1,0.4,0.1,0.4
193,0.737,1.395,1.1,0.4,0.1,0.4
194,0.777,1.381,1.1,0.4,0.1,0.4
195,0.82,1.368,1.1,0.4,0.1,0.4
196,0.865,1.355,1.1,0.4,0.1,0.4
197,0.913,1.342,1.1,0.4,0.1,0.4
198,0.965,1.329,1.1,0.4,0.1,0.4
199,1.02,1.316,1.1,0.4,0.1,0.4
