day,S,I,R,beta,gamma,new_infected
53,32.97,99.21,867.83,0.3,0.08,0.98
54,31.98,92.25,875.77,0.3,0.08,0.89
55,31.1,85.76,883.15,0.3,0.08,0.8
56,30.3,79.7,890.01,0.3,0.08,0.72
57,29.57,74.04,896.38,0.3,0.08,0.66
58,28.92,68.78,902.31,0.3,0.08,0.6
59,28.32,63.87,907.81,0.3,0.08,0.54
60,27.78,59.3,912.92,0.3,0.08,0.49
61,27.28,55.05,917.66,0.3,0.08,0.45
62,26.83,51.1,922.07,0.3,0.08,0.41
63,26.42,47.42,926.15,0.3,0.08,0.38
64,26.05,44.01,929.95,0.3,0.08,0.34
65,25.7,40.83,933.47,0.3,0.08,0.31
66,25.39,37.88,936.73,0.3,0.08,0.29
67,25.1,35.14,939.76,0.3,0.08,0.26
68,24.83,32.59,942.58,0.3,0.08,0.24
69,24.59,30.23,945.18,0.3,0.08,0.22
70,24.37,28.03,947.6,0.3,0.08,0.2
71,24.16,25.99,949.84,0.3,0.08,0.19
72,23.98,24.1,951.92,0.3,0.08,0.17
73,23.8,22.35,953.85,0.3,0.08,0.16
74,23.64,20.72,955.64,0.3,0.08,0.15
75,23.5,19.21,957.3,0.3,0.08,0.14
76,23.36,17.81,958.83,0.3,0.08,0.12
77,23.24,16.51,960.26,0.3,0.08,0.12
78,23.12,15.3,961.58,0.3,0.08,0.11
79,23.01,14.18,962.8,0.3,0.08,0.1
80,22.92,13.15,963.94,0.3,0.08,0.09
81,22.83,12.19,964.99,0.3,0.08,0.08
82,22.74,11.29,965.96,0.3,0.08,0.08
83,22.67,10.47,966.87,0.3,0.08,0.07
84,22.59,9.7,967.7,0.3,0.08,0.07
85,22.53,8.99,968.48,0.3,0.08,0.06
86,22.47,8.33,969.2,0.3,0.08,0.06
87,22.41,7.72,969.87,0.3,0.08,0.05
88,22.36,7.16,970.48,0.3,0.08,0.05
89,22.31,6.63,971.06,0.3,0.08,0.04
90,22.27,6.15,971.59,0.3,0.08,0.04
91,22.23,5.7,972.08,0.3,0.08,0.04
92,22.19,5.28,972.53,0.3,0.08,0.04
93,22.15,4.89,972.96,0.3,0.08,0.03
94,22.12,4.53,973.35,0.3,0.08,0.03
95,22.09,4.2,973.71,0.3,0.08,0.03
96,22.06,3.89,974.05,0.3,0.08,0.03
97,22.04,3.61,974.36,0.3,0.08,0.02
98,22.01,3.34,974.65,0.3,0.08,0.02
99,21.99,3.1,974.91,0.3,0.08,0.02
100,21.97,2.87,975.16,0.3,0.08,0.02
101,21.95,2.66,975.39,0.3,0.08,0.02
102,21.93,2.46,975.6,0.3,0.08,0.02
103,21.92,2.28,975.8,0.3,0.08,0.02
104,21.9,2.11,975.98,0.3,0.08,0.01
105,21.89,1.96,976.15,0.3,0.08,0.01
106,21.88,1.82,976.31,0.3,0.08,0.01
107,21.86,1.68,976.45,0.3,0.08,0.01
108,21.85,1.56,976.59,0.3,0.08,0.01
109,21.84,1.44,976.71,0.3,0.08,0.01
110,21.83,1.34,976.83,0.3,0.08,0.01
111,21.82,1.24,976.94,0.3,0.08,0.01
112,21.82,1.15,977.03,0.3,0.08,0.01
113,21.81,1.06,977.13,0.3,0.08,0.01
114,21.8,0.99,977.21,0.3,0.08,0.01
115,21.8,0.91,977.29,0.3,0.08,0.01
116,21.79,0.85,977.36,0.3,0.08,0.01
117,21.78,0.78,977.43,0.3,0.08,0.01
118,21.78,0.73,977.49,0.3,0.08,0.0
119,21.77,0.67,977.55,0.3,0.08,0.0
